id,ordtyr,ordlyr,ord2yr,ord3yr,ordhist,sprord,sumord,fallord,winord,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
23698,0,0,1,1,4,19,25,15,16,2,1,1,0,9,4,0,0,3,1,0,14,8,0,0,9,1,0,0,2,11,0,1,0,0,1,1,5,1,0
23892,0,1,1,0,0,3,2,8,0,0,0,4,0,1,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0
23949,1,0,1,0,2,2,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,2,0,0,1,0
24570,0,1,1,1,3,1,7,21,1,0,0,1,1,0,5,0,0,4,0,0,9,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0
24791,0,0,1,0,2,3,3,5,0,1,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
25038,1,1,0,1,2,3,2,2,2,0,2,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25313,1,1,1,1,3,2,10,3,8,0,0,1,0,1,0,0,0,0,8,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26417,1,1,1,1,2,9,3,10,11,0,0,0,0,1,5,0,0,2,1,0,2,3,2,0,0,0,0,0,7,6,0,2,0,0,0,0,2,0,0
26433,0,1,1,1,4,20,18,15,20,1,0,0,0,0,5,0,0,10,2,0,41,0,0,0,1,0,0,0,9,2,0,0,0,0,1,0,1,0,0
26824,0,1,1,1,3,0,5,2,11,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,8,0,2,0,0,3,0,0,0,0
26832,1,1,1,1,3,13,11,7,6,3,2,1,2,1,9,0,0,2,2,1,1,2,3,0,4,0,0,0,0,2,0,1,0,0,1,0,0,0,0
27014,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27022,0,0,0,1,2,3,12,2,0,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27332,1,1,1,1,2,16,13,0,4,0,1,0,0,2,7,0,0,0,6,0,3,7,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,0,1
27642,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28100,0,0,1,1,3,10,8,6,0,0,0,0,0,0,1,0,0,3,4,0,6,5,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0
28398,1,1,1,0,0,8,0,0,24,7,0,1,0,0,2,0,0,3,8,0,2,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,1,1,0
28495,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28630,1,1,1,1,3,23,26,23,20,1,0,0,0,1,3,0,0,5,1,2,19,18,5,1,19,0,3,0,2,6,0,1,0,0,2,1,1,0,1
28762,1,1,0,1,2,5,5,12,9,2,0,1,0,6,3,0,0,0,4,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,5,0,1
29220,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29246,1,1,0,0,4,5,6,6,2,0,0,0,0,0,1,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29289,1,1,1,1,3,63,52,61,84,31,12,12,2,3,14,0,1,16,81,0,7,9,0,0,5,3,0,1,15,29,0,5,1,0,4,2,6,0,1
29483,0,0,1,1,1,3,0,11,9,3,1,0,0,0,1,0,0,0,3,0,1,6,0,0,0,2,1,0,2,1,0,0,0,0,0,0,2,0,0
30171,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
30805,1,1,1,1,3,31,28,7,15,0,0,0,0,0,1,1,0,0,1,0,4,32,1,0,0,4,8,0,8,8,0,1,0,0,7,1,1,1,2
31046,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31283,1,1,1,1,2,3,8,0,4,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,1
31461,0,0,0,1,2,3,2,2,2,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
31518,1,1,0,1,0,64,0,0,6,1,0,0,0,0,1,0,0,0,37,0,4,18,0,0,0,0,3,0,4,1,0,0,0,0,0,1,0,0,0
31550,0,0,0,0,2,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31593,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
31690,0,1,1,1,1,3,19,9,10,2,1,1,0,0,1,0,0,0,3,0,0,12,0,2,2,0,0,0,8,0,5,1,0,0,0,0,3,0,0
31828,0,0,0,0,3,0,8,14,9,2,0,1,1,1,1,0,1,1,2,0,1,2,1,0,1,0,0,1,5,5,0,3,0,0,1,0,1,0,0
31879,0,0,1,1,4,8,10,10,11,0,0,0,0,1,4,0,2,4,1,0,13,0,0,0,5,0,1,0,3,1,1,0,0,0,1,0,2,0,0
32263,1,1,1,1,2,4,1,10,3,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1
32638,0,0,0,1,2,0,4,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,3,2,0,0,0
32883,0,1,1,1,3,4,26,6,10,2,5,4,0,0,1,1,2,2,1,1,6,5,1,0,1,0,0,0,2,6,0,0,1,0,0,1,2,0,2
33235,0,0,0,0,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0
33316,1,1,1,0,2,9,6,0,0,0,0,0,0,0,3,0,0,1,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33472,0,1,0,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33618,0,1,1,1,3,5,17,37,20,2,0,0,0,0,4,0,0,5,15,0,8,1,0,0,1,0,0,0,13,5,3,16,0,0,4,1,1,0,0
33847,0,1,1,0,3,9,7,6,2,0,0,0,0,0,6,0,0,0,0,0,8,2,0,1,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0
33960,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34290,0,0,1,1,3,5,3,4,4,0,0,1,0,1,0,0,0,0,0,0,5,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0
34657,1,1,1,1,3,30,27,4,33,6,0,2,2,1,9,0,1,3,0,0,17,5,1,0,1,0,0,0,12,12,0,2,0,0,12,5,1,2,0
35017,1,0,1,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35475,1,1,1,0,3,13,33,28,9,1,2,1,0,0,9,1,0,14,3,1,13,13,0,0,1,0,1,0,9,9,1,0,0,0,1,1,1,1,0
35823,0,0,0,1,3,2,5,3,7,2,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,1
36005,0,1,0,1,3,5,8,2,10,0,0,1,0,3,3,0,0,0,0,1,1,7,0,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0
36110,1,1,1,1,1,7,7,9,4,1,0,0,0,1,4,0,0,2,2,0,2,2,0,0,0,0,0,1,4,1,0,4,0,0,3,0,0,0,0
36129,0,0,1,0,2,5,3,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
36137,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36145,1,1,1,1,4,7,9,6,10,6,1,0,0,0,0,1,0,0,2,0,2,2,0,0,0,0,0,0,1,13,1,0,0,0,1,0,0,0,2
36269,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36536,1,1,1,1,1,3,11,5,8,2,0,3,1,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,4,3,0,2,0,0,0,0,0,2,0
37176,0,1,0,1,3,4,3,2,2,0,0,0,1,0,0,1,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37826,1,0,1,1,3,4,6,5,5,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,5,0,1,0,2,1,1,0,0,0,1,0,0,0,0
38407,0,0,0,1,2,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38440,1,1,1,1,3,8,7,5,6,0,0,0,0,1,4,0,0,1,1,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
38482,0,1,1,1,3,0,11,5,6,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,6,1,0,0,0,5,0,0,0,0,0,1,1,0,0
39217,0,0,0,1,2,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
39390,0,0,0,0,3,16,2,1,9,0,0,0,0,4,4,0,3,1,0,0,3,0,0,0,7,0,0,0,0,1,0,3,0,0,0,0,1,0,1
39527,0,1,0,1,4,4,0,12,0,0,0,0,0,0,0,0,0,4,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
39543,0,0,0,0,4,6,9,3,3,1,0,0,0,0,8,0,0,0,1,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39608,0,1,1,1,3,14,11,9,12,0,0,1,0,0,1,0,0,1,14,0,8,11,0,0,0,0,2,0,4,0,0,2,0,0,2,0,0,0,0
39730,0,1,1,1,3,5,13,7,5,3,9,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,5,0,6,0,0,0,1,1,0,0,0
40126,1,1,1,1,3,18,3,0,13,2,2,0,3,0,2,0,0,1,15,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40347,1,1,1,1,1,3,2,6,15,0,1,0,0,0,4,0,0,0,8,0,8,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
40428,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
40665,1,1,0,1,1,0,5,0,15,0,0,0,0,2,4,0,0,1,0,0,2,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0
40738,0,1,1,1,1,104,11,55,61,2,1,3,0,1,5,0,0,9,37,0,21,7,1,1,1,0,3,0,98,15,8,4,0,0,3,2,4,5,0
40770,0,1,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
40886,1,1,0,0,1,2,2,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
40894,0,1,0,1,3,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
40975,1,1,1,1,3,8,6,25,8,1,2,1,0,0,1,0,0,5,0,0,11,11,0,1,0,0,0,0,8,3,0,1,0,0,1,1,0,0,0
41513,1,1,1,1,4,6,3,10,7,5,1,0,0,1,3,0,2,0,0,0,4,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,1
